Depth,WOB,SURF_RPM,ROP_AVG,PHIF,VSH,SW,KLOGH
3305,26217.864,1.3147203,0.004088054,0.086711005,0.071718795,1,0.001
3310,83492.293,1.3286739,0.005159383,0.095208498,0.116548315,1,0.001
3315,97087.882,1.4201163,0.005971469,0.061636098,0.104283234,1,0.001
3320,54793.206,1.5939307,0.005419109,0.043497664,0.110039811,1,0.001
3325,50301.579,1.653262,0.005435248,0.035252241,0.120807706,1,0.001
3330,56835.194,1.65745,0.004738274,0.015965128,0.085564925,1,0.001
3335,37638.028,2.1392383,0.008811767,0.046243123,0.109858975,1,0.001
3340,37638.028,2.1392383,0.008811767,0.041236565,0.071368258,1,0.001
3345,44564.583,1.9748064,0.008456208,0.013781889,0.090755599,1,0.001
3350,60928.603,1.7357419,0.007391549,0.017082659,0.097655748,1,0.001
3355,40202.384,2.5205151,0.006793048,0.014316008,0.089343111,1,0.001
3360,43788.455,2.5870526,0.006780833,0.053798959,0.096550293,1,0.001
3365,44938.123,2.6299641,0.006783421,0.037798701,0.111597019,1,0.001
3370,45959.357,2.639233,0.003402723,0.036526226,0.092511973,1,0.001
3375,27652.132,2.5934011,0.007381282,0.030479465,0.113838983,1,0.001
3380,29439.337,2.5458528,0.007379655,0.026482121,0.087976159,1,0.001
3390,51058.513,2.5862395,0.007376406,0.032047358,0.070752104,1,0.001
3395,54386.651,2.5757272,0.00712355,0.024143296,0.111945172,1,0.001
3400,42902.548,2.5644255,0.006976174,0.019745277,0.055927879,1,0.001
3405,90190.589,2.6031916,0.00678894,0.002968188,0.064927598,1,0.001
3415,32214.548,2.6391501,0.007383896,0.03629762,0.067104465,1,0.001
3420,47159.142,2.6165824,0.007360344,0.024594233,0.073955892,1,0.001
3425,60347.172,2.3783772,0.006710375,0.048633772,0.086399469,1,0.001
3430,47047.491,1.9995412,0.007379005,0.087484318,0.091781875,1,0.001
3435,49582.124,1.99964,0.007165938,0.054966144,0.067739423,1,0.001
3440,41336.436,2.0006842,0.006794987,0.09898509,0.067067308,1.007839057,0.001
